Borough,Neighborhood,Studio,1_bedroom,2_bedroom,3_bedroom,Avg_Rent
Manhattan,Chelsea,2794.0,4062.0,6997.0,11031.0,6221.0
Manhattan,East Village,2608.0,3280.0,4044.0,5289.0,3805.25
Manhattan,Flatiron/Union Square,3632.0,4645.0,8267.0,15969.0,8128.25
Manhattan,Gramercy Park,2569.0,3656.0,5413.0,7226.0,4716.0
Manhattan,Greenwich Village,2828.0,4116.0,8000.0,12418.0,6840.5
Manhattan,Battery Park City,2823.0,3573.0,6859.0,10574.0,5957.25
Manhattan,Financial District,2955.0,3965.0,6065.0,10653.0,5909.5
Manhattan,Lower East Side,2710.0,3524.0,4699.0,5543.0,4119.0
Manhattan,NoHo,5121.0,6117.0,9678.0,16413.0,9332.25
Manhattan,NoLiTa/Little Italy,2683.0,4280.0,4833.0,10648.0,5611.0
Manhattan,SoHo,3589.0,4556.0,9711.0,13621.0,7869.25
Manhattan,Tribeca,3502.0,5543.0,9650.0,15886.0,8645.25
Manhattan,West Village,2765.0,4169.0,7026.0,11903.0,6465.75
Manhattan,Beekman/Sutton Place,2676.0,3622.0,5217.0,6497.0,4503.0
Manhattan,Midtown East,2485.0,3613.0,6711.0,12280.0,6272.25
Manhattan,Midtown West,2589.0,3680.0,6138.0,14892.0,6824.75
Manhattan,Murray Hill,2474.0,3426.0,4653.0,6568.0,4280.25
Manhattan,Turtle Bay/United Nations,2237.0,3430.0,5133.0,12517.0,5829.25
Manhattan,Carnegie Hill,2307.0,3266.0,5547.0,11529.0,5662.25
Manhattan,Lenox Hill,2316.0,3277.0,5106.0,8553.0,4813.0
Manhattan,Park/Fifth Ave. to 79th St.,4289.0,4535.0,12173.0,26970.0,11991.75
Manhattan,Roosevelt Island,2696.0,3257.0,4411.0,5445.0,3952.25
Manhattan,Yorkville,2215.0,2838.0,4181.0,7084.0,4079.5
Manhattan,Broadway Corridor,2328.0,3851.0,4616.0,6197.0,4248.0
Manhattan,Central Park West,2362.0,3563.0,7266.0,14463.0,6913.5
Manhattan,Lincoln Center,2662.0,4033.0,6484.0,9851.0,5757.5
Manhattan,Morningside Heights,2329.0,2929.0,3179.0,4105.0,3135.5
Manhattan,Riverside Dr./West End Ave.,2330.0,3414.0,5966.0,9020.0,5182.5
Manhattan,East Harlem,2010.0,2367.0,3268.0,3880.0,2881.25
Manhattan,Hamilton Heights,1992.0,2118.0,2589.0,3174.0,2468.25
Manhattan,Harlem,1899.0,2389.0,3079.0,4148.0,2878.75
Manhattan,Inwood,1657.0,1876.0,2273.0,2570.0,2094.0
Manhattan,Washington Heights,1978.0,2039.0,2425.0,2859.0,2325.25
Brooklyn,Bedford-Stuyvesant,2044.0,2297.0,2611.0,3214.0,2541.5
Brooklyn,Boerum Hill,2092.0,2854.0,4356.0,4921.0,3555.75
Brooklyn,Brooklyn Heights,2509.0,3270.0,5983.0,8654.0,5104.0
Brooklyn,Bushwick,2050.0,2373.0,2749.0,2851.0,2505.75
Brooklyn,Carroll Gardens,2271.0,2634.0,3914.0,5027.0,3461.5
Brooklyn,Clinton Hill,2409.0,2776.0,3450.0,4204.0,3209.75
Brooklyn,Cobble Hill,2100.0,2734.0,4222.0,6122.0,3794.5
Brooklyn,Crown Heights,1806.0,2310.0,2582.0,3185.0,2470.75
Brooklyn,Downtown Brooklyn,2443.0,3218.0,4548.0,6048.0,4064.25
Brooklyn,DUMBO,3189.0,4132.0,6086.0,9144.0,5637.75
Brooklyn,Fort Greene,2957.0,2508.0,4213.0,6760.0,4109.5
Brooklyn,Gowanus,2293.0,2796.0,3588.0,3687.0,3091.0
Brooklyn,Greenpoint,2347.0,2812.0,3708.0,5278.0,3536.25
Brooklyn,Kensington,1724.0,1866.0,2925.0,3215.0,2432.5
Brooklyn,Park Slope,2795.0,2739.0,3422.0,4883.0,3459.75
Brooklyn,Prospect Heights,2393.0,2823.0,3621.0,4320.0,3289.25
Brooklyn,Prospect Lefferts Gardens,1933.0,2094.0,2911.0,3423.0,2590.25
Brooklyn,Red Hook,2276.0,2300.0,4287.0,4771.0,3408.5
Brooklyn,South Slope - Greenwood Heights,2400.0,2248.0,2780.0,4000.0,2857.0
Brooklyn,Sunset Park,1400.0,1912.0,2300.0,2500.0,2028.0
Brooklyn,Williamsburg,2712.0,3166.0,4043.0,5081.0,3750.5
Brooklyn,Windsor Terrace,1939.0,2563.0,2877.0,3679.0,2764.5
